name,type,how_found,official_or_list_url,other_doors,bucket,ingest_rec,clear_state,retry_paths,review_after,why
Vinovium,venue,catalog,https://www.vinovium.wine/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 170, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Sandy Road Vineyards,venue,catalog,https://sandyroadvineyards.com/pages/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 171, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Westcave Cellars Winery & Brewery,venue,catalog,https://www.westcavecellars.com/events/category/westcave-cellars/list/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 172, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
290 Wine Castle,venue,catalog,https://www.290winecastle.com/Events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 173, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Esperanza Winery,venue,catalog,https://www.esperanzawinery.com/events-1,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 174, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Hye Meadow Winery,venue,catalog,https://www.hyemeadow.com/pages/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 175, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Ron Yates Wines,venue,catalog,https://www.ronyateswines.com/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 176, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Pebble Rock Cellars,venue,catalog,https://www.pebblerockcellars.wine/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 177, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Real Ale Brewing Company,venue,catalog,https://realalebrewing.com/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 178, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Pecan Street Brewing,venue,catalog,https://www.pecanstreetbrewing.com/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 179, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Texas Cannon Brewing Company,venue,catalog,https://www.texascannonbrewing.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 180, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Andalusia Whiskey Co.,venue,catalog,https://www.andalusiawhiskey.com/event-calendar,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 181, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Milam & Greene Whiskey,venue,catalog,https://milamandgreenewhiskey.com/pages/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 182, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Redbud Cafe,venue,catalog,https://redbudcafetx.com/music/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 183, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Uptown Blanco Arts & Entertainment,venue,catalog,https://www.uptownblanco.com/ballroom,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 184, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
The Loren at Lady Bird Lake -- Guest Chef Series,presenter,web_search,https://www.thelorenhotels.com/austin/cuisine/guest-chef-series,"thelorenhotels.com/austin/experiences/events (hotel's general events page, also uncatalogued)",B,official,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch to confirm cadence/schedule,next sourcing session with live network access,"Rotating guest-chef program is the presenter; the hotel underneath it is a second, uncatalogued venue hole."
"Environmental Science Institute -- Hot Science, Cool Talks",presenter,web_search,https://www.esi.utexas.edu/community-engagement/hot-science-cool-talks/,"calendar.utexas.edu (UT's own Localist feed, already catalogued class A)",B,official,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch; cross-check against UT's catalogued Localist feed,next sourcing session with live network access,Free public lecture series fills the 'professor' presenter slot; also reachable via an aggregator we already hold.
Austin Forum on Technology & Society,group,web_search,https://www.austinforum.org/,"eventbrite.com/o/the-austin-forum-on-technology-society (public org page, lead only)",B,official,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch to confirm monthly cadence/next date,next sourcing session with live network access,"Monthly, free, public speaker series -- fills the 'speaker' presenter slot as a standing nonprofit."
ATX Hackerspace,other,web_search,http://wiki.atxhs.org/wiki/Welcome_to_the_ATX_Hackerspace_Wiki,do512.com/venues/atx-hackerspace (already-catalogued aggregator); hackaday.io/hackerspace/1089-atx-hackerspace,B,official,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch of the wiki's events page; confirm the weekly Tuesday open house still runs,next sourcing session with live network access,"Member-run nonprofit, standing weekly public Open House -- the 'other' catch-all example."
[HOLE] Independent touring band -- own official site,presenter,web_search (negative),,"Bandsintown, Songkick, MusicBrainz (all three already catalogued)",,aggregator,blocked_now,propose '<band name> official site'; FETCH-CONFIRM before trusting any result,next sourcing session with live network access,3 CAPCOG touring acts searched; results were dominated by SEO ticket-reseller domains indistinguishable from a real artist site without a fetch -- refused to guess.
[HOLE] Independent author -- own appearances page,presenter,web_search,,"BookPeople, Austin Public Library 'Meet the Author', Texas Book Festival (all catalogued)",,aggregator,blocked_now,"propose '<author name> official site events'; oscarcasares.com is one candidate, not fetch-confirmed",next sourcing session with live network access,Literary presenters overwhelmingly route through 3 already-catalogued desks/institutions rather than independent pages.
[HOLE] Independent visual artist / gallery exhibition calendar,presenter,web_search,,"Blanton, The Contemporary Austin, Mexic-Arte (catalogued); City Hall People's Gallery (civic, catalogued)",,aggregator,blocked_now,"propose '<gallery> exhibition calendar'; wallyworkmangallery.com is one candidate, not fetch-confirmed",next sourcing session with live network access,Same pattern as author/band: a real-looking lead exists but could not be fetch-verified this session.
[HOLE] Independent comedian/personality standing show,presenter,web_search,,"Cap City Comedy Club, The Hideout Theatre, The Velveeta Room (all catalogued)",,aggregator,blocked_now,propose 'Austin comedian residency' / 'live podcast taping series'; fetch-confirm,next sourcing session with live network access,'Personality' presenters resolve almost entirely through the 3 already-catalogued comedy venues.
Meetup -- New To Austin Community,group,web_search (via catalogued Meetup aggregator),https://www.meetup.com/enjoyable-events-around-town/,,B,aggregator,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch to confirm active; repeat the pattern across other Meetup interest categories,next sourcing session with live network access,"Demonstrates the aggregator-to-TAM pattern Must-do #1 asks for: Meetup (catalogued, aggregator_lead) names a real local group we lacked."
City of Round Rock (Williamson County),civic,web_search,https://www.roundrocktexas.gov/events/,roundrocktexas.gov/city-departments/parks-and-recreation/parks-special-events/; roundrocktexas.gov/city-departments/arts-and-culture/events/,B,official,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch,next sourcing session with live network access,Largest Williamson County city with no civic row in the catalog before this session.
City of San Marcos (Hays County),civic,web_search,https://www.sanmarcostx.gov/Calendar,,B,official,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch,next sourcing session with live network access,County seat of Hays County; zero Hays County civic coverage existed before this session.
City of Kyle (Hays County),civic,web_search,https://www.cityofkyle.gov/living-here/parks-and-recreation/community-events,,B,official,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch,next sourcing session with live network access,One of the fastest-growing CAPCOG cities; no prior catalog row.
City of Bastrop (Bastrop County),civic,web_search,https://connect.cityofbastrop.org/bastroptx,"cityofbastroptx.recdesk.com/Community/Calendar (separate parks & rec platform, same city)",B,official,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch both doors,next sourcing session with live network access,"Two separate calendar platforms for one city -- both listed, neither fetch-confirmed."
City of Marble Falls (Burnet County),civic,web_search,https://www.marblefallstx.gov/733/Events,"visitmarblefalls.org/events (CVB/tourism door, graded trusted_publisher-adjacent -- see aggregator table)",B,official,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch,next sourcing session with live network access,Hill Country expansion county (Burnet) had wineries but no civic row.
City of Lockhart (Caldwell County),civic,web_search,https://www.cityoflockhart.gov/Calendar.aspx,,B,official,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch,next sourcing session with live network access,Runs on the CivicEngage municipal platform -- see aggregator table for the sibling-city implication. Caldwell County had zero rows.
[HOLE] City of Georgetown (Williamson County) civic calendar,civic,web_search (negative),,"visit.georgetown.org (tourism, not the city's own calendar)",,blocked_now,blocked_now,propose 'site:georgetown.org events calendar',next sourcing session with live network access,"Search surfaced only third-party/tourism pages, not the city's own calendar -- refused to guess a .gov path."
[HOLE] City of Buda (Hays County) civic calendar,civic,web_search (negative),,,,blocked_now,blocked_now,propose 'site:cityofbudatx.gov events calendar',next sourcing session with live network access,"Only regional roundups (Community Impact) surfaced, no first-party city calendar URL confirmed."
[HOLE] City of Pflugerville (Williamson County) general civic calendar,civic,web_search (partial),,"pflugervilletx.gov/717/Pfarmers-Market (confirmed -- see market section, but that is one program page, not the city's general calendar)",,blocked_now,blocked_now,propose 'site:pflugervilletx.gov events calendar',next sourcing session with live network access,Found the city's farmers-market page but not its general events calendar.
[HOLE] City of Llano (Llano County) civic calendar,civic,web_search (negative),,"101highlandlakes.com/events, hillcountrypassport.com/events (regional, not first-party)",,blocked_now,blocked_now,"propose ""site:llanotx.us OR 'City of Llano Texas' events calendar""",next sourcing session with live network access,Llano County (Hill Country expansion) had zero civic coverage; only regional aggregators surfaced.
"Southwestern University (Georgetown, Williamson County)",education,web_search,https://www.southwestern.edu/calendar/,do512.com/venues/southwestern-university (already-catalogued aggregator),B,official,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch; confirm Localist/other feed under the hood,next sourcing session with live network access,Only private liberal-arts college in the catalog's footprint with a confirmed public calendar page; fills an education-type hole outside UT/Texas State/ACC.
[HOLE] St. Edward's University / Concordia University Texas / Huston-Tillotson University,education,web_search (not individually confirmed),,,,blocked_now,blocked_now,propose per school: '<school name> events calendar Localist site' then fetch-confirm,next sourcing session with live network access,Three more Austin-area campuses named but not individually verified this session -- grouped as one hole rather than guessed.
Pflugerville Pfarmers Market,market,web_search,https://www.pflugervilletx.gov/717/Pfarmers-Market,,B,official,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch,next sourcing session with live network access,"City-run market page, cleanest door of the new market rows -- Williamson County had one market row (none) before this."
Always Fun Markets (multi-site market operator),other,web_search,https://www.alwaysfunmarkets.com/,runs the two markets below,B,official,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch,next sourcing session with live network access,"A producer/operator entity, not itself one physical market -- same shape as a festival organizer; runs multiple CAPCOG-county markets."
"Wolf Ranch Farmers Market (Georgetown, Williamson County)",market,web_search,,"alwaysfunmarkets.com (operator, row above)",,aggregator,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch of the operator's site for a market-specific page,next sourcing session with live network access,No market-specific URL beyond its operator; resolves through Always Fun Markets.
"Lakeline Plaza Farmers Market (Cedar Park, Williamson County)",market,web_search,,"alwaysfunmarkets.com (operator, row above)",,aggregator,found_unverified (WebSearch only; WebFetch egress-blocked this sandbox this session),direct fetch of the operator's site for a market-specific page,next sourcing session with live network access,Same operator pattern as Wolf Ranch; Cedar Park had zero market coverage before this.
